ILCE,KAPINO,ENLEM,ACIKLAMA,ILCEID,MAHALLE,MAHALLEID,ADI,BOYLAM,YOL,dist_m,risk_band
TİRE,,37.999611368589,3527-005-01,997,AKMESCİT,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.704927464955,AKMESCİT MAH. MEYDANI - KUZYAKA SOKAK,9842.361864084862,Güvenli
TİRE,,38.122842668309,3527-004-01,997,AKKOYUNLU,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.655248252482,CAMİİLİ SOKAK,744.4256331426783,Orta
KONAK,,38.405619384048,3520-067-01,21,LALE,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.150807371891,GÜRÇEŞME LEMAN ALPTEKİN ORTAOKULU BAHÇESİ,5321.156004863419,Güvenli
FOÇA,,38.663509637702,3512-015-01,4,YENİBAĞARASI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.842999982284,YENİFOÇA CADDESİ VE 1005. SOKAK KESİŞİMİ,1103.961096226513,Düşük
FOÇA,,38.715909427132,3512-012-01,4,KOZBEYLİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.894499635373,KOZBEYLİ PAZAR ALANI,2332.148006500802,Düşük
MENDERES,,38.242204056172,3521-008-01,13,CÜNEYTBEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.134988122633,İBRAHİM TURAN,2578.7017136474465,Düşük
MENDERES,,38.215047309929,3521-007-01,13,BULGURCA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.229157792394,ATAM BULVARI  NO:20,1692.3872743878949,Düşük
GAZİEMİR,,38.293350893723,3513-013-01,15,MENDERES,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.167828005445,SARNIÇ REKREASYON ALANI - 1010 SOKAK VE 1012 SOKAK KESİŞİMİ,1641.7455719906343,Düşük
NARLIDERE,,38.407009098034,3523-010-01,5,SAHİLEVLERİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.00666120414,BÜŞRA,2318.004500500055,Düşük
TORBALI,,38.245412403075,3528-019-01,9,DİRMİL,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.42249780664,DİRMİL MAHALLESİ GAZİ CADDESİ,5682.013934440655,Güvenli
TORBALI,,38.281212078501,3528-018-01,9,DEMİRCİ,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.286098432199,DEMİRCİ MAHALLESİ 6254 SOKAK,2993.033353167014,Düşük
TORBALI,,38.307608719309,3528-016-01,9,DAĞKIZILCA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.393595860277,6213,10571.109234749812,Güvenli
TORBALI,,38.23101240862,3528-014-01,9,ÇAPAK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.3530981777,2540,2194.887314630672,Düşük
TORBALI,,38.104213219632,3528-010-01,9,BÜLBÜLDERE,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.499897641235,YUNUS EMRE,1090.556624957751,Düşük
FOÇA,,38.65250976436,3512-013-01,4,MAREŞAL FEVZİ ÇAKMAK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.907099684898,ADNAN MENDERES VE 11 EYLÜL CADDESİ KESİŞİMİ,1719.3541076978138,Düşük
FOÇA,,38.651109768029,3512-010-01,4,KEMAL ATATÜRK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.903999703428,522.SOKAK VE FATİH CADDESİ KESİŞİMİ,1738.86746145845,Düşük
GAZİEMİR,,38.315263028657,3513-010-01,15,GAZİKENT,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.138433377636,AHMET TANER KIŞLALI SPOR SALONU ÇEVRESİ -  GAZİ ATATÜRK BULVARI,2725.73290077406,Düşük
GAZİEMİR,,38.307333868535,3513-008-01,15,FATİH,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.175730962673,SARNIÇ PİKNİK ALANI - ÇAMLIK CAD.,1682.1690827224047,Düşük
GAZİEMİR,,38.329247676128,3513-006-01,15,DOKUZ EYLÜL,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.138501092102,9 EYLÜL PİKNİK ALANI -KAHRAMANLAR CAD. VE 332 SOKAK ARASI,1461.9558741014646,Düşük
GAZİEMİR,,38.348995036518,3513-005-01,15,BİNBAŞI REŞATBEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.134624193426,351 SOKAK,906.3985431808092,Orta
NARLIDERE,,38.396974904458,3523-009-01,5,NARLI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.002328551875,MUSTAFA KEMAL SAHİL,2705.2973508712325,Düşük
KONAK,,38.407044782875,3520-052-01,21,İSMET PAŞA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.159237586712,RIDVAN NAZİF EDGÜER ORTAOKULU YANI (ESKİ HAYDAR RÜŞTÜ ÖKTEM ANADOLU LİSESİ),4574.042310438937,Düşük
KONAK,,38.424128056968,3520-047-01,21,HİLAL,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.157541758666,1215,4462.170909583021,Düşük
KONAK,,38.419740336354,3520-041-01,21,GÜNEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.157485207385,KONAK MUSTAFA KEMAL ATATÜRK MESLEKİ VE TEKNİK ANADOLU LİSESİ,4459.770486072675,Düşük
KONAK,,38.442163490996,3520-025-01,21,ÇINARLI,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.178870004462,ÇINARLI REKREASYON ALANI,3458.617820022157,Düşük
KONAK,,38.405875945522,3520-016-01,21,ATİLLA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.122764433168,MÜBADELE PARKI - 471 SOKAK VE 487 SOKAK,6252.352846703201,Güvenli
KONAK,,38.438660164922,3520-010-01,21,ALSANCAK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.143457491917,KIBRIS ŞEHİTLERİ PARKI - KIBRIS ŞEHİTLERİ CADDESİ,4894.425752092302,Düşük
TİRE,,38.098578217751,3527-087-01,997,YENİOBA,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.579024659813,BAYAR SOKAK,3190.603477124792,Düşük
SELÇUK,,37.944793127681,3526-012-01,10,ŞİRİNCE,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.43164271268,KAYSERKAYA,6189.307324233899,Güvenli
SELÇUK,,37.883392307977,3526-009-01,10,HAVUTÇULU,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.416634410888,506 SOKAK,11317.373838668704,Güvenli
SELÇUK,,37.943761938796,3526-006-01,10,CUMHURİYET,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.368845559526,KUBİLAY CAD.,3667.7909951021193,Düşük
MENDERES,,38.277525995034,3521-035-01,13,KISIK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.186129940773,7709 SOKAK NO:1,211.13951605403045,Çok Yüksek
MENDERES,,38.133632120308,3521-031-01,13,KARAKUYU,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.234801233423,KARAKUYU,170.140651175917,Çok Yüksek
MENDERES,29,38.289672868776,3521-029-01,13,HÜRRİYET,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.125453224537,ZİYA GÖKALP,4946.404402429393,Düşük
MENDERES,1,38.070703888144,3521-025-01,13,GÜMÜLDÜR ATATÜRK,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.001297221354,MERYEM ANA,2607.2734463753904,Düşük
MENEMEN,,38.598392058519,3522-060-01,17,VİLLAKENT,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,26.923092702047,5159 SOKAK VE 5161 SOKAK ARASI,2083.8056641051676,Düşük
MENEMEN,,38.636715050144,3522-049-01,17,MUSABEY,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.006434715837,300,2281.334797276111,Düşük
MENEMEN,,38.573125133568,3522-016-01,17,CUMHURİYET,,1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI,27.062928631749,SEVGİ,692.3576692336326,Orta
